Date,,Zsolarpowerwall2_Generation,Zsolarpowerwall2_Consumption,Zsolarpowerwall2_Surplus,Xider_Generation,Xider_Consumption,Xider_Surplus,SR Solaredge_Generation,SR Solaredge_Consumption,SR Solaredge_Surplus,Shygar-A_Generation,Shygar-A_Consumption,Shygar-A__Surplus,Shanon Ranch Valia_Generation,Shanon Ranch Valia_Consumption,Shanon Ranch Valia_Surplus,SDN-Eagle200_Generation,SDN-Eagle200_Consumption,SDN-Eagle200_Surplus,Rust Ohlone_Generation,Rust Ohlone_Consumption,Rust Ohlone_Surplus,Portola Springs - Irvine CA_Generation,Portola Springs - Irvine CA_Consumption,Portola Springs - Irvine CA_Surplus,ParkCrest_A_Generation,ParkCrest_A_Consumption,ParkCrest_A_Surplus,nedriv PV_Generation,nedriv PV_Consumption,nedriv PV_Surplus,Barry's Grid_Generation,Barry's Grid_Consumption,Barry's Grid_Surplus,Chateau Rando_Generation,Chateau Rando_Consumption,Chateau Rando_Surplus,Chula Vista_Generation,Chula Vista_Consumption,Chula Vista_Surplus,Chez Bier_Generation,Chez Bier_Consumption,Chez Bier_Surplus,cwsm_Generation,cwsm_Consumption,cwsm_Surplus,dublin-hills_Generation,dublin-hills_Consumption,dublin-hills_Surplus,Hacienda de Gomez_Generation,Hacienda de Gomez_Consumption,Hacienda de Gomez_Surplus, Mt. Tiburon CA_Generation, Mt. Tiburon CA_Consumption, Mt. Tiburon CA_Surplus,Hadleigh of South Hills_Generation,Hadleigh of South Hills_Consumption,Hadleigh of South Hills_Surplus,Heitman House_Generation,Heitman House_Consumption,Heitman House_Surplus,Modesto (Village One)_Generation,Modesto (Village One)_Consumption,Modesto (Village One)_Surplus,Los Angeles Home_Generation,Los Angeles Home_Consumption,Los Angeles Home_Surplus,LN Home_Generation,LN Home_Consumption,LN Home_Surplus,HHG-Plano_Generation,HHG-Plano_Consumption,HHG-Plano_Surplus,Little Orchard Solar_Generation,Little Orchard Solar_Consumption,Little Orchard Solar_Surplus,JakePV_Generation,JakePV_Consumption,JakePV_Surplus,Koko wa Greenwood_Generation,Koko wa Greenwood_Consumption,Koko wa Greenwood_Surplus,Rendezvous Ridge_Generation,Rendezvous Ridge_Consumption,Rendezvous Ridge_Surplus,Rendezvous Totals_Generation,Rendezvous Totals_Consumption,Rendezvous Totals_Surplus,San_Diego_RP_Generation,San_Diego_RP_Consumption,San_Diego_RP_Surplus,Schaffer_Generation,Schaffer_Consumption,Schaffer_Surplus,SolarEdge24_Generation,SolarEdge24_Consumption,SolarEdge24_Surplus,Smiser Residence_Generation,Smiser Residence_Consumption,Smiser Residence_Surplus
21-12-2022,,22.922,20.463,2.459,20.096,18.342,1.754,21.93,27.138,-28.892,21.095,54.593,-33.498,3.234,36.924,-33.69,5.091,53.055,-47.964,23.766,30.868,-7.102,17.654,25.048,-7.394,15.787,26.67,-10.883,5.959,8.194,-2.235,30.273,24.783,-5.49,18.677,26.863,-8.186,41.618,99.854,-58.236,11.982,51.814,-39.832,17.083,40.606,-23.523,22.496,55.893,-33.397,26.597,12.899,13.698,25.11,36.478,-11.368,24.656,42.36,-17.704,11.277,34.233,-22.956,4.813,83.988,-79.175,21.404,14.736,6.668,23.296,35.713,-12.417,10.842,15.472,-4.63,30.023,35.602,-5.579,22.119,16.425,5.694,37.199,56.364,-19.165,15.195,50.924,-35.729,15.195,50.924,-35.729,19.039,18.342,0.697,15.211,47.203,-31.992,31.878,28.841,3.037,21.422,22.805,-1.383
20-12-2022,,23.259,18.318,4.941,19.46,19.324,0.136,22.821,29.289,-29.425,20.482,44.896,-24.414,6.254,71.486,-65.232,9.292,51.049,-41.757,20.667,55.65,-34.983,16.698,18.948,-2.25,16.133,29.04,-12.907,3.834,8.111,-4.277,27.903,19.992,-7.911,19.05,24.516,-5.466,43.756,78.472,-34.716,20.121,42.55,-22.429,16.539,52.443,-35.904,7.945,60.127,-52.182,23.715,11.147,12.568,20.68,34.836,-14.156,24.547,39.729,-15.182,5.884,24.046,-18.162,26.561,46.391,-19.83,21.812,17.908,3.904,23.241,30.204,-6.963,12.684,13.965,-1.281,28.827,50.926,-22.099,21.418,15.911,5.507,36.936,46.66,-9.724,3.386,27.666,-24.28,3.386,27.666,-24.28,16.687,50.135,-33.448,13.776,53.192,-39.416,32.389,29.559,2.83,21.74,23.793,-2.053
19-12-2022,,23.571,18.909,4.662,20.619,19.074,1.545,23.165,28.681,-30.226,4.074,40.191,-36.117,9.795,66.433,-56.638,11.306,50.23,-38.924,18.154,45.275,-27.121,17.68,20.685,-3.005,16.323,28.016,-11.693,8.911,13.476,-4.565,30.885,-,#VALUE!,19.312,31.429,-12.117,42.765,93.753,-50.988,17.378,59.802,-42.424,8.75,41.899,-33.149,24.638,31.877,-7.239,27.441,10.89,16.551,8.719,61.511,-52.792,25.302,47.604,-22.302,7.648,33.068,-25.42,6.27,50.694,-44.424,22.104,21.653,0.451,23.673,28.948,-5.275,4.382,20.326,-15.944,25.783,35.814,-10.031,22.77,17.015,5.755,29.473,33.881,-4.408,10.101,28.547,-18.446,10.101,28.547,-18.446,19.467,15.738,3.729,15.229,49.553,-34.324,32.984,28.272,4.712,21.785,23.899,-2.114
18-12-2022,,23.114,21.955,1.159,19.988,32.525,-12.537,19.65,24.893,-12.356,14.308,42.602,-28.294,2.963,18.762,-15.799,4.314,50.739,-46.425,25.373,59.259,-33.886,17.866,89.56,-71.694,15.558,25.806,-10.248,5.68,12.52,-6.84,30.72,30.71,-0.01,19.085,26.971,-7.886,41.999,75.659,-33.66,11.199,60.245,-49.046,18.407,43.019,-24.612,25.407,10.36,15.047,20.096,11.332,8.764,29.568,31.863,-2.295,25.366,40.424,-15.058,11.041,35.003,-23.962,5.315,81.615,-76.3,22.071,21.39,0.681,24.07,32.45,-8.38,12.427,23.456,-11.029,34.912,81.17,-46.258,22.54,15.693,6.847,24.589,41.276,-16.687,16.458,28.194,-11.736,16.458,28.194,-11.736,17.568,30.772,-13.204,15.253,52.328,-37.075,31.742,26.297,5.445,21.882,27.943,-6.061
17-12-2022,,17.417,13.91,3.507,13.836,22.455,-8.619,14.048,38.165,-29.546,25.258,62.123,-36.865,8.014,40.277,-32.263,20.231,52.194,-31.963,26.006,22.098,3.908,12.1,18.526,-6.426,12.464,33.296,-20.832,5.226,11.692,-6.466,21.624,26.487,4.863,19.038,27.827,-8.789,36.743,86.482,-49.739,22.371,29.273,-6.902,18.578,57.774,-39.196,25.281,29.376,-4.095,19.554,11.68,7.874,30.055,37.007,-6.952,18.121,44.28,-26.159,10.962,27.908,-16.946,24.046,45.41,-21.364,16.61,31.622,-15.012,16.543,28.891,-12.348,13.658,16.24,-2.582,34.787,51.084,-16.297,14.366,17.735,-3.369,25.171,43.453,-18.282,7.956,35.671,-27.715,7.956,35.671,-27.715,15.055,53.06,-38.005,11.649,44.153,-32.504,22.886,29.023,-6.137,13.304,26.214,-12.91
16-12-2022,,21.838,20.984,0.854,17.932,5.108,12.824,21.423,30.267,-43.091,24.702,39.085,-14.383,21.458,50.647,-29.189,29.025,55.195,-26.17,25.756,24.347,1.409,15.546,17.899,-2.353,15.724,56.431,-40.707,5.153,11.2,-6.047,24.999,8.572,-16.427,23.705,23.744,-0.039,41.943,85.619,-43.676,23.558,31.959,-8.401,18.7,58.891,-40.191,23.134,38.777,-15.643,20.28,12.693,7.587,29.805,36.418,-6.613,19.612,35.1,-15.488,10.903,26.62,-15.717,26.256,32.791,-6.535,20.094,34.133,-14.039,22.5,30.185,-7.685,8.597,16.416,-7.819,34.935,72.204,-37.269,18.952,15.072,3.88,35.57,45.081,-9.511,15.205,85.536,-70.331,15.205,85.536,-70.331,14.188,37.625,-23.437,11.97,42.144,-30.174,29.013,28.082,0.931,21.187,23.636,-2.449
15-12-2022,,16.38,20.65,-4.27,14.647,19.111,-4.464,13.515,33.317,-28.853,23.589,86.171,-62.582,18.877,51.377,-32.5,28.697,51.063,-22.366,24.261,23.582,0.679,12.008,20.025,-8.017,13.061,25.903,-12.842,5.663,10.598,-4.935,23.999,-,#VALUE!,16.5,25.653,-9.153,36.869,74.392,-37.523,23.144,33.547,-10.403,17.271,60.803,-43.532,23.852,43.238,-19.386,16.984,13.597,3.387,26.625,59.528,-32.903,17.664,36.893,-19.229,11.196,25.702,-14.506,31.691,78.035,-46.344,13.48,34.063,-20.583,16.887,29.907,-13.02,13.332,22.41,-9.078,32.495,46.917,-14.422,12.96,15.085,-2.125,22.795,43.227,-20.432,17.762,28.145,-10.383,17.762,28.145,-10.383,15.168,15.319,-0.151,15.577,48.058,-32.481,20.613,29.243,-8.63,14.903,29.813,-14.91
14-12-2022,,23.459,13.268,10.191,20.439,19.3,1.139,16.853,38.142,-39.281,23.757,42.946,-19.189,21.247,21.802,-0.555,31.626,51.08,-19.454,24.946,25.561,-0.615,17.696,25.623,-7.927,16.67,26.043,-9.373,6.443,11.01,-4.567,30.672,-,#VALUE!,19.263,28.452,-9.189,43.243,78.732,-35.489,20.193,39.816,-19.623,16.874,69.321,-52.447,24.574,42.8,-18.226,27.623,11.966,15.657,26.452,34.737,-8.285,25.161,36.382,-11.221,10.839,23.43,-12.591,33.24,70.325,-37.085,22.103,37.819,-15.716,23.667,27.54,-3.873,11.653,18.293,-6.64,33.024,88.746,-55.722,22.585,15.939,6.646,38.167,41.483,-3.316,15.16,28.511,-13.351,15.16,28.511,-13.351,19.222,25.227,-6.005,15.739,41.289,-25.55,32.934,28.156,4.778,21.639,27.508,-5.869
13-12-2022,,19.085,31.375,-12.29,16.16,20.363,-4.203,16.644,31.899,-27.696,25.497,46.416,-20.919,21.704,41.039,-19.335,32.6,54.127,-21.527,25.991,50.583,-24.592,17.771,17.405,0.366,15.761,27.154,-11.393,5.244,9.212,-3.968,30.118,10.028,-20.09,19.118,28.306,-9.188,35.656,81.532,-45.876,21.904,60.094,-38.19,18.725,67.956,-49.231,15.912,46.498,-30.586,20.771,14.629,6.142,29.491,35.089,-5.598,25.699,38.412,-12.713,11.098,22.224,-11.126,34.633,52.06,-17.427,22.401,37.947,-15.546,23.447,27.878,-4.431,4.533,15.372,-10.839,35.739,58.918,-23.179,17.648,15.378,2.27,39.433,48.108,-8.675,13.099,27.152,-14.053,13.099,27.152,-14.053,12.806,37.53,-24.724,15.516,-,#VALUE!,20.897,25.693,-4.796,20.548,27.369,-6.821
12-12-2022,,17.389,12.394,4.995,12.07,24.145,-12.075,10.014,36.389,-24.314,16.7,50.028,-33.328,15.055,39.416,-24.361,23.428,50.209,-26.781,26.612,40.343,-13.731,9.552,24.738,-15.186,8.49,22.362,-13.872,7.042,8.72,-1.678,19.634,38.985,19.351,14.634,29.318,-14.684,28.106,90.36,-62.254,23.37,31.293,-7.923,16.312,61.128,-44.816,12.903,58.182,-45.279,11.936,14.52,-2.584,26.872,34.103,-7.231,15.126,45.751,-30.625,10.657,18.429,-7.772,28.55,71.425,-42.875,18.444,33.333,-14.889,16.969,30.405,-13.436,1.744,15.581,-13.837,22.357,52.022,-29.665,12.313,19.58,-7.267,22.844,47.354,-24.51,4.072,32.476,-28.404,4.072,32.476,-28.404,8.097,28.989,-20.892,9.834,40.721,-30.887,11.152,14.625,-3.473,19.401,25.269,-5.868
11-12-2022,,5.937,15.619,-9.682,3.529,20.313,-16.784,3.654,33.194,-16.41,15.679,37.48,-21.801,14.153,25.205,-11.052,20.87,44.891,-24.021,16.709,26.589,-9.88,3.936,20.3,-16.364,3.945,27.047,-23.102,3.25,8.778,-5.528,8.686,35.407,26.721,17.118,33.776,-16.658,15.079,97.13,-82.051,24.037,43.432,-19.395,13.141,67.529,-54.388,1.686,33.002,-31.316,4.27,13.489,-9.219,16.197,39.892,-23.695,19.328,51.664,-32.336,2.23,27.129,-24.899,21.921,45.394,-23.473,9.488,35.081,-25.593,8.734,30.037,-21.303,4.332,13.599,-9.267,23.52,100.165,-76.645,4.207,22.499,-18.292,9.337,41.538,-32.201,0,54.12,-54.12,0,54.12,-54.12,0.917,24.273,-23.356,4.348,40.426,-36.078,5.016,14.683,-9.667,5.168,26.121,-20.953
10-12-2022,,23.229,24.053,-0.824,20.437,25.034,-4.597,21.737,35.696,-31.099,4.45,46.487,-42.037,3.797,28.791,-24.994,6.236,46.189,-39.953,3.449,29.593,-26.144,16.711,13.955,2.756,14.997,27.586,-12.589,2.227,5.694,-3.467,27.53,28.092,0.562,18.69,25.278,-6.588,41.956,70.741,-28.785,11.271,52.356,-41.085,3.982,52.862,-48.88,14.381,45.464,-31.083,26.899,9.661,17.238,3.149,40.069,-36.92,11.238,37.008,-25.77,1.262,31.246,-29.984,4.659,50.379,-45.72,13.977,37.72,-23.743,20.794,30.591,-9.797,2.523,11.631,-9.108,2.879,74.769,-71.89,22.495,20.923,1.572,37.433,50.096,-12.663,0.414,35.698,-35.284,0.414,35.698,-35.284,17.432,19.619,-2.187,12.241,46.771,-34.53,32.648,14.241,18.407,21.131,22.434,-1.303
09-12-2022,,23.367,20.454,2.913,20.483,4.934,15.549,22.064,29.073,-44.622,13.458,42.967,-29.509,20.639,55.099,-34.46,32.207,41.563,-9.356,14.335,27.759,-13.424,17.847,18.146,-0.299,15.14,25.279,-10.139,5.288,5.364,-0.076,29.668,24.487,-5.181,18.895,34.259,-15.364,43.022,81.218,-38.196,1.522,29.065,-27.543,12.261,40.436,-28.175,10.528,39.835,-29.307,27.047,11.07,15.977,12.259,41.368,-29.109,25.538,38.071,-12.533,3.243,31.997,-28.754,21.242,85.381,-64.139,21.807,32.344,-10.537,23.274,28.362,-5.088,4.9,14.246,-9.346,19.804,90.806,-71.002,22.57,16.365,6.205,39.723,50.103,-10.38,11.193,28.509,-17.316,11.193,28.509,-17.316,17.851,22.662,-4.811,15.265,37.108,-21.843,32.53,14.146,18.384,22.092,23.729,-1.637
08-12-2022,,24.059,15.824,8.235,21.056,17.709,3.347,20.765,32.541,-35.888,9.593,30.224,-20.631,16.22,22.863,-6.643,23.483,45.742,-22.259,12.889,29.137,-16.248,16.794,22.475,-5.681,15.313,24.953,-9.64,8.762,6.185,2.577,30.837,22.461,-8.376,19.26,27.843,-8.583,42.12,79.742,-37.622,9.937,25.796,-15.859,7.767,66.362,-58.595,25.33,38.057,-12.727,27.882,10.021,17.861,8.879,50.952,-42.073,25.798,35.492,-9.694,6.124,28.845,-22.721,22.23,41.494,-19.264,22.365,33.551,-11.186,23.477,30.19,-6.713,5.56,12.386,-6.826,20.796,50.601,-29.805,23.116,16.949,6.167,39.38,45.629,-6.249,14.684,28.787,-14.103,14.684,28.787,-14.103,18.869,35.742,-16.873,15.039,-,#VALUE!,33.288,14.327,18.961,22.451,26.209,-3.758
07-12-2022,,22.094,11.843,10.251,13.623,18.6,-4.977,16.748,32.234,-27.257,22.893,54.743,-31.85,14.609,29.5,-14.891,23.564,48.6,-25.036,25.816,18.626,7.19,13.727,36.209,-22.482,13.274,24.082,-10.808,5.087,6.698,-1.611,28.34,24.599,-3.741,11.181,25.961,-14.78,47.926,81.847,-33.921,7.518,40.056,-32.538,17.573,45.276,-27.703,11.563,40.905,-29.342,22.688,12.045,10.643,26.046,36.222,-10.176,21.102,40.053,-18.951,11.128,25.042,-13.914,34.623,52.102,-17.479,20.849,24.105,-3.256,23.699,28.639,-4.94,3.241,15.51,-12.269,34.775,93.93,-59.155,17.196,15.908,1.288,33.465,56.445,-22.98,15.209,33.518,-18.309,15.209,33.518,-18.309,15.746,15.749,-0.003,14.425,41.048,-26.623,27.456,14.284,13.172,21.209,22.473,-1.264
06-12-2022,,14.379,21.765,-7.386,11.126,18.424,-7.298,13.127,29.241,-21.943,10.586,45.162,-34.576,20.475,53.181,-32.706,30.706,43.64,-12.934,22.801,19.446,3.355,7.696,36.041,-28.345,11.921,28.8,-16.879,8.015,19.951,-11.936,17.073,55.897,38.824,12.728,25.697,-12.969,43.864,82.821,-38.957,23.095,47.551,-24.456,12.979,48.087,-35.108,16.785,39.23,-22.445,17.846,12.584,5.262,22.989,41.214,-18.225,19.832,39.571,-19.739,10.569,21.696,-11.127,20.768,72.989,-52.221,12.832,33.035,-20.203,15.766,29.664,-13.898,6.954,15.935,-8.981,24.925,75.71,-50.785,11.532,17.449,-5.917,18.367,37.281,-18.914,12.249,13.82,-1.571,12.249,13.82,-1.571,8.688,36.443,-27.755,9.897,38.738,-28.841,18.265,14.641,3.624,14.706,23.481,-8.775
